callsign,latitude,longitude
PA3GRM,52.75,6.0
PA5WT,52.75,6.0
VU2PTT,13.5,77.0
BI4MPH,31.25,121.0
RL3A,56.25,37.0
IK4VET,44.75,11.0
PR1T,-23.75,-46.0
GX0FRE,54.25,-4.0
EA1URA,43.25,-5.0
AC0C-1,39.75,-93.0
G4MKR,51.25,0.0
BH4RXP,31.75,117.0
YO2MAX,45.75,25.0
EL2BG,6.25,-9.0
KE3BK,39.75,-76.0
SM7IUN,56.25,13.0
V51YJ,-22.25,17.0
PA0MBO,52.75,5.0
5Z4NZ,-3.25,40.0
RU9CZD,56.25,61.0
HA5PP,47.75,19.0
KP2RUM,18.25,-65.0
EA1DIW,43.25,-6.0
BH4XDZ-1,31.75,117.0
IZ6198SWL,45.75,13.0
BH4HKZ,31.25,121.0
F4VVG,49.75,2.0
R6YY,55.75,37.0
LU6KK,-34.75,-58.0
ZF9CW,19.25,-81.0
SP5JXK,52.25,21.0
HG0Y,47.75,20.0
OH6BG,60.25,24.0
VR2FUN-77,22.25,114.0
VK3VB,-37.75,145.0
M0SEJ,51.25,0.0
F1EZG,43.75,2.0
OZ1BZS,56.25,9.0
IK2LFF,45.75,9.0
K7RUT,47.75,-122.0
WC8GOP,41.75,-82.0
IK6HIR,43.75,12.0
